ean,quantita
0,27
0000000000123,13
0000002020006,80
0000002090054,33
0000002120621,20
0000002665085,261
0000002690124,53
0000006466374,30
0000006481742,100
0000006482916,100
0000006500146,53
0000006500153,40
0000006500412,83
0000011148173,9876
0000011449874,9876
0000038104312,500
0000112513443,16
0000113817816,98
0000800262127,408
0000800264305,140
0000800271105,288
0002611586430,69
0004604062013,32
0005000035038,24
0005000035045,12
0005000035069,13
0006640906023,37
0006812082029,56
0007450000031,12
0008732503578,33
0009685327495,17
0010343605169,41
0010343605435,10
0010343605787,10
0010343812017,38
0010343812031,34
0010343814400,17
0010343818439,14
0010343818514,31
0010343819245,20
0010343819795,16
0010343829930,42
0010343829978,24
0010343830059,10
0010343830073,51
0010343839014,29
0010343839366,12
0010343839847,12
0010343840706,21
0010343846685,22
0010343848290,13
0010343849440,25
0010343852235,14
0010343853409,47
0010343853744,100
0010343855274,23
0010343855281,42
0010343855540,17
0010343855557,11
0010343858770,29
0010343858787,14
0010343858800,10
0010343858855,15
0010343858954,71
0010343861275,11
0010343861312,28
0010343864238,26
0010343864450,19
0010343864467,27
0010343864481,66
0010343864498,22
0010343864504,18
0010343864719,13
0010343864726,16
0010343864740,16
0010343864757,12
0010343864764,14
0010343864771,15
0010343864788,23
0010343865587,27
0010343865594,22
0010343865853,11
0010343868397,49
0010343868403,35
0010343868410,31
0010343868434,34
0010343868441,29
0010343868458,17
0010343868472,27
0010343868489,22
0010343868496,13
0010343870796,13
0010343870802,17
0010343870819,43
0010343870826,15
0010343870833,18
0010343870840,15
0010343870857,16
0010343870864,27
0010343870871,27
0010343870895,24
0010343873636,35
0010343873643,32
0010343874435,27
0010343877672,15
0010343877726,12
0010343886124,16
0010343886131,100
0010343886148,18
0010343886155,11
0010343886162,10
0010343886186,49
0010343886193,14
0010343886216,20
0010343886223,26
0010343886230,100
0010343911307,11
0010343914865,71
0010343914872,51
0010343914896,65
0010343914902,42
0010343914926,42
0010343914940,59
0010343917569,14
0010343919679,19
0010343919686,19
0010343919709,12
0010343919716,15
0010343919723,15
0010343919730,11
0010343919761,12
0010343930056,53
0010343932791,19
0010343949683,22
0010343949690,15
0010343969827,18
0010343969834,25
0010343969841,21
0010343969858,19
0010343969865,25
0010681784885,68
0011120261844,14
0012914111246,10
0012914921470,10
0014337058832,13
0015451618827,28
0015561128544,13
0015561221870,15
0015561223348,20
0016023296122,10
0018214813026,98
0018214813903,1036
0018214833666,342
0018214836742,213
0019342441334,24
0020714125608,138
0021200161759,10
0021615020511,14
0022517425152,11
0022517430101,14
0022517431702,15
0022517437179,19
0022517437186,30
0022517437216,20
0022517443668,28
0022517506950,23
0022517507025,30
0022517507056,30
0022517524176,26
0023942302254,27
0023942302261,100
0023942302278,10
0023942302285,12
0023942302292,100
0023942302308,18
0023942302315,88
0023942318262,39
0023942318279,24
0023942320258,31
0023942320302,16
0023942320319,13
0023942320425,16
0023942320432,50
0023942320883,10
0023942321200,67
0023942321255,14
0023942321279,14
0023942321538,16
0023942321736,35
0023942321743,14
0023942321804,23
0023942321811,18
0023942321828,14
0023942321903,10
0023942321910,26
0023942321927,10
0023942321941,20
0023942321965,10
0023942322016,99
0023942322023,49
0023942322030,55
0023942322047,17
0023942322054,16
0023942322160,214
0023942322382,20
0023942322399,36
0023942323228,10
0023942324003,12
0023942324027,10
0023942431480,10
0023942432296,61
0023942433439,10
0023942433514,12
0023942434115,13
0023942434153,25
0023942434269,31
0023942434320,19
0023942434375,20
0023942434382,11
0023942434986,20
0023942435129,14
0023942435198,15
0023942435211,10
0023942435235,16
0023942435334,45
0023942435389,16
0023942435419,23
0023942435488,20
0023942435495,18
0023942435501,61
0023942435518,76
0023942435525,11
0023942435570,40
0023942436157,24
0023942436942,20
0023942437031,12
0023942437154,35
0023942437369,15
0023942437420,13
0023942437444,15
0023942437451,14
0023942437468,29
0023942437482,10
0023942437604,21
0023942438045,13
0023942438113,11
0023942438236,19
0023942438335,30
0023942438373,34
0023942438380,30
0023942438472,10
0023942438885,20
0023942438892,36
0023942438908,10
0023942439622,16
0023942439639,20
0023942440109,20
0023942440130,101
0023942440826,101
0023942440833,34
0023942440857,19
0023942470427,29
0023942474432,17
0023942490623,101
0023942490630,101
0023942490647,101
0023942490715,29
0023942491729,101
0023942491736,101
0023942491743,496
0023942493167,22
0023942493174,39
0023942493204,26
0023942493303,61
0023942493518,24
0023942493525,20
0023942493532,53
0023942493549,15
0023942493624,101
0023942493631,101
0023942493648,53
0023942493679,46
0023942493693,32
0023942493730,101
0023942493747,101
0023942494546,11
0023942495451,43
0023942495468,25
0023942495901,23
0023942495918,54
0023942495925,101
0023942497011,39
0023942498063,12
0023942498070,42
0023942499664,18
0023942499671,44
0023942499923,16
0023942532231,10
0023942532309,10
0023942534037,100
0023942536505,11
0023942536512,21
0023942974642,40
0023942986645,40
0023942986966,21
0023942986973,42
0023942986980,11
0023942987093,101
0023942987109,36
0023942987116,25
0023942987482,32
0023942987505,21
0023942991069,85
0024606619855,18
0026649180958,18
0032546446202,30
0033984003149,35
0033984013186,36
0035368002168,15
0035585081328,74
0035585081335,238
0035585081342,204
0035585081359,37
0035585081366,59
0037332167521,27
0037332181305,21
0037332182173,15
0037332193933,10
0037332193940,10
0037332199270,10
0037332203366,10
0037332203427,10
0037332209146,20
0037332209221,10
0037332242136,11
0037332250698,10
0037332257826,12
0039281058257,11
0039281059353,11
0040102003707,23
0040102003714,46
0040102003721,42
0040102003776,26
0040102003783,20
0040102125706,140
0040102128608,36
0040102129902,11
0040102216411,74
0040102250002,38
0040102640711,44
0040102640728,69
0040102640759,38
0040102640766,112
0040102640797,448
0040102640803,110
0040102640841,72
0040102640902,103
0040102641213,51
0040102641336,26
0040102641350,59
0040102642401,59
0040102642654,30
0040102643156,10
0040102644405,47
0040102644450,91
0040102660504,145
0040102660559,72
0040102735509,20
0040102791307,17
0040232306938,354
0040835250522,31
0041771014964,21
0041771015046,11
0041771015114,15
0041771015183,18
0041771060091,11
0041771284749,100
0041771428105,23
0041771962937,100
0041778001707,11
0041778001714,18
0041778001745,18
0041778001806,10
0041778011874,12
0041778806463,10
0041898985109,49
0043859628117,19
0043859628247,17
0043859652228,11
0043859667772,18
0043859676125,13
0043859716975,24
0043859718184,10
0043859741854,91
0043859743537,68
0043859743568,18
0043859751518,11
0043859751549,10
0043859763436,11
0043859769018,19
0043859782505,10
0043859784479,101
0043859796052,34
0043859796076,58
0043859797141,11
0043859806805,210
0043859806867,153
0043859814152,101
0043859814893,180
0043859814916,187
0043917017426,102
0043917030142,119
0043917859460,32
0045496321512,30
0045496445010,10
0046221190229,16
0046221190236,11
0047239900862,45
0047239900961,15
0048526004553,30
0048526068708,21
0048526925643,12
0051128007518,77
0051128010570,11
0051128011072,20
0051128787304,14
0051128788493,188
0051128788509,19
0051128789636,59
0051128789650,12
0051128797181,13
0051128797730,46
0051128830833,82
0051131499768,18
0051131529076,32
0051138660499,28
0051138954123,13
0051144065578,159
0051144065653,82
0065030875134,16
0069524322999,11
0071662076191,23
0071662175177,30
0071662275167,11
0071662302511,30
0071662488406,19
0071662620134,18
0073464671086,101
0073950336833,17
0073950336857,19
0073950337762,16
0074451131576,11
0074451171435,14
0074451174573,30
0074451175525,11
0074451175532,28
0074451175556,12
0074451998735,30
0076308415020,21
0076308415037,13
0076308415068,10
0076308415082,18
0077511530616,14
0077924036545,30
0077924041068,30
0077924993442,26
00810010075819,12
0081483004785,75
0082966440953,94
0082966440984,43
0085854220224,30
0085854221467,19
0085854253505,299
0085854258920,11
0085854259224,58
0085896338208,27
0085896504177,18
0085896507284,23
0085896517009,80
0085896527862,53
0085896552536,19
0085896552543,40
0085896552550,34
0085896552567,11
0085896554011,10
0085896555131,203
0085896582731,150
0085896582779,53
0085896583035,16
0085896583066,90
0085896583523,14
0085896583530,139
0085896583561,17
0085896583578,192
0085896583585,39
0085896583592,20
0085896583622,19
0085896583646,109
0085896583707,14
0085896583745,473
0085896596004,478
0085896596011,22
0085896603900,11
0085896603931,10
0085896603948,16
0085896606000,26
0085896606031,101
0085896606253,10
0085896606277,20
0085896623168,23
0085896626091,31
0085896633808,16
0085896644408,20
0085896644446,314
0085896646433,14
0085896650218,18
0085896650232,10
0085896650256,24
0085896678908,19
0085896679158,12
0085896680017,107
0085896709923,407
0085896723592,18
0085896752981,17
0088047255669,153
0088047257694,21
0088300196814,115
0088381034579,20
0088381034586,10
0088381081658,46
0088381092739,13
0088381095723,24
0088381095761,28
0088381095785,25
0088381097543,72
0088381098069,102
0088381397964,30
0088381421461,10
0088381424783,20
0088381437011,83
0088381461788,19
0088381463195,20
0088381468190,27
0088381470469,10
0088381473446,14
0088381474511,10
0088381537100,20
0088381537124,10
0088381537131,10
0088381561389,10
0088381568746,19
0088381570251,14
0088381580786,10
0088381580946,15
0088381581271,11
0088381581486,22
0088381590228,26
0088381605335,10
0088381606141,30
0088381607452,20
0088381607483,11
0088381640893,15
0088381643818,20
0088381645461,10
0088381650939,44
0088381652292,11
0088381654722,10
0088381654777,20
0088381657884,10
0088381658119,40
0088381658584,12
0088381658645,172
0088381660792,43
0088381660822,37
0088381660952,10
0088381661089,19
0088381662635,33
0088381667418,20
0088381668057,10
0088381669467,50
0088381670333,33
0088381672894,28
0088381673136,10
0088381673686,101
0088381673709,40
0088381674522,12
0088381676946,58
0088381677127,13
0088381680134,20
0088381680141,18
0088381683197,85
0088381683623,10
0088381683920,66
0088381684774,26
0088381690737,14
0088381694360,14
0088381699013,16
0088381720540,20
0088381723718,29
0088381723831,70
0088381723923,38
0088381723954,10
0088381728928,17
0088381729451,14
0088381730327,84
0088381730334,101
0088381732093,23
0088381732871,31
0088381734912,21
0088381736817,13
0088381738934,30
0088381740333,20
0088381740371,10
0088381741316,21
0088381741606,13
0088381741613,13
0088381741651,92
0088381742139,45
0088381745161,60
0088381745260,17
0088381748469,101
0088381748490,13
0088381748599,11
0088381750608,20
0088381751117,10
0088381752695,20
0088381753135,10
0088381755382,10
0088381756686,12
0088381757904,49
0088381757935,101
0088381757942,10
0088381759502,20
0088381760386,10
0088381760997,49
0088381762533,59
0088381762694,14
0088381763097,10
0088381765541,10
0088381768924,10
0088381769617,22
0088381770972,10
0088381772242,10
0088381772495,20
0088381772624,16
0088381772662,74
0088381774970,22
0088381775175,20
0088381775182,45
0088381775243,53
0088381775601,22
0088381775700,93
0088381776202,100
0088381777155,10
0088381779210,100
0088381779883,10
0088381779975,199
0088381780384,47
0088381780407,11
0088381781619,10
0088381781640,10
0088381787888,10
0088381791236,91
0088381794152,11
0088381796101,24
0088381800747,20
0088381800754,14
0088381803212,40
0088381803397,53
0088381804646,534
0088381806121,131
0088381806404,10
0088381806640,70
0088381812580,20
0088381813655,30
0088381817981,40
0088381822572,13
0088381822800,109
0088381823975,10
0088381826105,15
0088381826228,10
0088381826433,100
0088381826853,10
0088381832724,60
0088381833271,23
0088381837637,58
0088381837668,26
0088381838009,33
0088381843379,11
0088381846103,100
0088381846127,122
0088381848503,136
0088381848756,16
0088381850612,16
0088381850735,11
0088381850957,10
0088381853552,112
0088381853576,10
0088381854047,12
0088381854399,28
0088381854719,173
0088381857871,10
0088381857895,11
0088381858205,11
0088381858342,101
0088381858403,101
0088381859103,200
0088381859127,200
0088381859431,17
0088381860017,60
0088381865241,11
0088381866156,10
0088381866286,11
0088381866361,20
0088381866439,35
0088381868075,20
0088381868372,10
0088381870160,27
0088381872577,50
0088381873055,35
0088381873741,10
0088381873857,12
0088381874748,24
0088381874786,16
0088381876018,12
0088381876322,10
0088381884228,47
0088381884242,28
0088381884280,15
0088381884310,10
0088381884440,40
0088381884525,46
0088381884600,30
0088381886819,34
0088381886949,30
0088381887441,10
0088381887601,13
0088381887670,100
0088381889773,10
0088381889896,19
0088381891134,101
0088381891158,10
0088381891172,200
0088381891202,61
0088381891226,100
0088381891905,10
